n,resid_R2_iso,resid_R2_iso_ci_low,resid_R2_iso_ci_high,resid_iso_slope_raw,resid_iso_slope_raw_ci_low,resid_iso_slope_raw_ci_high,resid_iso_slope_std,resid_iso_slope_std_ci_low,resid_iso_slope_std_ci_high,resid_iso_intercept_raw,null_R2_shuffled_iso,null_R2_shuffled_iso_ci_low,null_R2_shuffled_iso_ci_high,null_slope_std,null_slope_raw,scope,condition_id,rule,L,rho,horizon
1000,0.17614723414667488,0.13102041446137966,0.2255832398164799,-0.6634001892152145,-0.760668587658505,-0.5657693250552424,-0.41969898039746906,-0.4749560374838608,-0.3619635946326823,588.9295375746715,1.7089773524658902e-05,1.906210825564081e-06,0.004621732974851188,-0.004133977929877463,-0.006534401723575808,condition,GoL_L128_rho0.25,GoL,128,0.25,200
1000,0.336164279771326,0.29190314112746296,0.3793974881726042,-0.8376598408772916,-0.9014486707652261,-0.7686533028697065,-0.5797967572963184,-0.6159518879509256,-0.5402791186289615,750.8472879482919,0.002334948507527912,1.0718511261609278e-06,0.0038895669352029556,0.04832130490299164,0.06981207822681298,condition,GoL_L128_rho0.30,GoL,128,0.3,1
1000,0.29227398473394195,0.23751036557569044,0.3315964394116502,-0.75363696021235,-0.8181783180804786,-0.6756140673721639,-0.5406236997523713,-0.5758440436272002,-0.4873500391669676,675.5322865668227,4.1833760574094825e-05,1.4875230680277972e-07,0.005641587615161577,-0.006467902331847289,-0.009016345851202041,condition,GoL_L128_rho0.30,GoL,128,0.3,5
1000,0.2796260851554002,0.24040062200660164,0.32743219085290426,-0.734149333285267,-0.8094165226750791,-0.671215363262777,-0.5287968278605688,-0.5722137615374099,-0.49030665965882575,658.0642988315818,0.001311259608306914,8.105022064830437e-07,0.00436107320024681,0.036211318787181715,0.05027359118727434,condition,GoL_L128_rho0.30,GoL,128,0.3,10
1000,0.27246676391675895,0.22598211676350904,0.31666156097481285,-0.7786154464659829,-0.8486864360716293,-0.703927950626675,-0.5219834900806336,-0.5627267828743758,-0.475375465064751,697.9220774405877,0.0004272561491089899,2.015094036858512e-06,0.004609298121495478,0.020670175352646075,0.03083261849573925,condition,GoL_L128_rho0.30,GoL,128,0.3,25
1000,0.23004013747313878,0.18913082548107654,0.27345795773641807,-0.7349636775041098,-0.8114485918672468,-0.656254138631531,-0.47962499671424413,-0.5229316951771963,-0.4348909452623101,658.7942468586166,0.0029668501542411407,7.534434697087368e-07,0.004841658405518495,-0.054468799823762695,-0.08346643669941745,condition,GoL_L128_rho0.30,GoL,128,0.3,50
1000,0.22688931196164286,0.18283294405580575,0.26765542258274977,-0.7806310123068658,-0.8597867314796532,-0.6945412289543879,-0.47632899550798175,-0.5173542507980072,-0.42758723464391485,699.7287560844195,0.0006021971476569687,7.39051522483103e-07,0.004463191621717252,0.02453970553321504,0.040216857157050895,condition,GoL_L128_rho0.30,GoL,128,0.3,100
1000,0.21785203809986997,0.17031664331494878,0.2640975938639817,-0.786103220038646,-0.8775552856181783,-0.6845031214414689,-0.46674622451592473,-0.5139032063473996,-0.41269328582254766,704.633840623501,0.00018282098924127244,2.579837315080935e-06,0.005171094974074312,0.013521131211592732,0.02277255653223916,condition,GoL_L128_rho0.30,GoL,128,0.3,200
1000,0.35777493033508223,0.3079221437600991,0.40966433056552076,-0.9351440227929563,-1.012014536053982,-0.853913620852327,-0.5981429012661458,-0.6400494956010062,-0.5549073101788466,786.0334380705737,0.000546775718815673,1.5403665216878756e-06,0.005761331552322042,-0.0233832358499795,-0.03655764064470037,condition,GoL_L128_rho0.35,GoL,128,0.35,1
1000,0.3168854518165449,0.2740030604615187,0.36024563373904406,-0.8000522809240775,-0.8702751064711489,-0.7315052048728636,-0.5629257960127118,-0.6002046597503365,-0.5234530058308756,672.4823446261713,0.0005717327236530734,1.7947164428211432e-07,0.005010274158134354,0.023910933140577892,0.03398315858616367,condition,GoL_L128_rho0.35,GoL,128,0.35,5
