condition_id,rule,L,rho,horizon,n,real_R2,real_R2_ci_low,real_R2_ci_high,real_slope_raw,real_slope_raw_ci_low,real_slope_raw_ci_high,iso_shuffle_R2,iso_shuffle_R2_ci_low,iso_shuffle_R2_ci_high,iso_shuffle_slope_raw,iso_shuffle_slope_raw_ci_low,iso_shuffle_slope_raw_ci_high,target_shuffle_R2,target_shuffle_R2_ci_low,target_shuffle_R2_ci_high,target_shuffle_slope_raw,target_shuffle_slope_raw_ci_low,target_shuffle_slope_raw_ci_high
GoL_L128_rho0.35,GoL,128,0.35,200,1000,0.16283211662050956,0.125049548781496,0.21122933552638645,-0.7027059534899118,-0.8167278898913135,-0.6093178964630808,0.0007057743735822131,7.241928620588256e-07,0.005389567490023473,-0.04626329290289889,-0.11963895955030612,0.1190586929167909,0.0018235530270531708,8.5371607552176e-07,0.004477136550926235,-0.07577059390770666,-0.11334082431361095,0.10565273146143919
GoL_L64_rho0.20,GoL,64,0.2,1,1000,0.3551518551346604,0.3094847383462844,0.3995283862172509,-0.6319897701098335,-0.6858592075401805,-0.5758319307587649,0.0018740370502390302,4.7363791379761995e-07,0.005237235390669051,0.04590839303528839,-0.06516548790627806,0.0599957763975304,4.897213043753013e-06,1.48625573773431e-06,0.005786708290639987,0.002351462927051373,-0.07107287030435777,0.06769510272186822
GoL_L64_rho0.20,GoL,64,0.2,5,1000,0.24313581584352084,0.19985130516426383,0.2883249653128785,-0.6435896141457726,-0.7123638353532578,-0.575000250627019,5.289632685978596e-06,3.0090454154169113e-06,0.006143420811775741,-0.003001907566958971,-0.07896759694623522,0.07822347685344164,0.0031222442251295224,7.094311562899636e-07,0.005489855361874577,-0.0732781782940262,-0.07410720256216852,0.09147671545080775
GoL_L64_rho0.20,GoL,64,0.2,10,1000,0.2221018229121653,0.18026576091144492,0.2708096426714417,-0.6515088127567461,-0.7236807737591356,-0.5791301271656732,2.0674629251926646e-06,1.0361270874781336e-06,0.005419532769531904,0.001987756115572461,-0.08654041657759216,0.0920888226980742,0.0005031131016235424,8.584372464481848e-07,0.0043571863364775185,-0.031069814736104293,-0.07822315959839965,0.08122701439021529
GoL_L64_rho0.20,GoL,64,0.2,25,1000,0.16981348060787804,0.1324638043067346,0.2129334326630405,-0.5924989185504003,-0.6696608505012832,-0.5228179386696135,0.0006635524535734127,2.3488324920883934e-06,0.006056442374378071,-0.037037282136315304,-0.0959124512285934,0.08739596708619629,0.00017271655633832594,2.7855490355221953e-06,0.004497106454951386,-0.018913847853690467,-0.08715981280773175,0.08698329349435605
GoL_L64_rho0.20,GoL,64,0.2,50,1000,0.1638952705254706,0.12845750706841036,0.2070340923774654,-0.6064162807080175,-0.6835831744547142,-0.5284283243366457,0.00402653023607491,1.240339457872497e-06,0.004620056367810656,0.09505021948729891,-0.08940992594155946,0.0891838763632299,9.341049317923567e-05,2.230639680314561e-06,0.003795678118550091,-0.01461700711076574,-0.08408759772798813,0.0899440816716999
GoL_L64_rho0.20,GoL,64,0.2,100,1000,0.1390902855969648,0.09636162626795367,0.17536338993823297,-0.6032025174519283,-0.6793025519989963,-0.5088274653151796,9.574032345394112e-05,1.0243825576433664e-06,0.0049843255355564685,0.015825673121159147,-0.10027999320522084,0.10028614724402908,0.0010754865967793625,2.756148477123244e-06,0.0044106686463197,0.054086122874775995,-0.0907557556742108,0.10396361908516458
GoL_L64_rho0.20,GoL,64,0.2,200,1000,0.15037881704017186,0.11541709169905474,0.1890753330395275,-0.6426495506981902,-0.7246909541328775,-0.5586052630492153,0.004030615974065066,9.602125668140006e-07,0.004690592291648333,-0.10521231754857227,-0.10500597359777525,0.09953759048018271,0.0005498071852173547,1.4734040290426132e-06,0.004477959025162819,0.03950608066753402,-0.10824641996195543,0.09519621680643296
GoL_L64_rho0.25,GoL,64,0.25,1,1000,0.38887248944705854,0.3411940342791138,0.4324798528263709,-0.7975835893991947,-0.8608143733595341,-0.741071807152549,0.0009867853648936054,8.903339441146411e-07,0.004629445779913695,-0.04017759617436581,-0.08092556304576508,0.07555372528625175,8.735112046898141e-05,2.8489720098334734e-06,0.0035494683708341534,0.012139490725092097,-0.0726653290996201,0.06865274812504327
GoL_L64_rho0.25,GoL,64,0.25,5,1000,0.28942002486153096,0.24178634369534308,0.33928826548611923,-0.6975319890306825,-0.7641764436693199,-0.623570865933775,0.0007390311515262926,1.4861720589870453e-06,0.004352704534467654,-0.035247734909159244,-0.07144718659608412,0.07859582747885911,0.0009641556330509671,2.2655124323811563e-06,0.004194339011741581,-0.040859227584220725,-0.08046396514119596,0.07434105040875591
