split_type,heldout,model,n_train,n_test,n_features,test_R2_z,test_corr_z,features
leave_condition,GoL_L64_rho0.20,class_counts_plus_losses,15000,1000,30,0.5376258465620942,0.733639072802124,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count,class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_condition,GoL_L64_rho0.25,iso_count,15000,1000,1,0.38825943388890405,0.6235964155181285,iso_count
leave_condition,GoL_L64_rho0.25,local_window_loss,15000,1000,1,0.5527471991822481,0.7437466783115595,iso_local_window_loss_sum
leave_condition,GoL_L64_rho0.25,local_window_delta_loss_gain,15000,1000,3,0.5632215589382825,0.7506991400927369,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_condition,GoL_L64_rho0.25,fate_core,15000,1000,4,0.43905128045176445,0.6630274642791878,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
leave_condition,GoL_L64_rho0.25,fate_all,15000,1000,8,0.5643708336944349,0.751491720652873,"iso_die,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_condition,GoL_L64_rho0.25,class_counts,15000,1000,15,0.39382916194889817,0.6283073354710847,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
leave_condition,GoL_L64_rho0.25,class_losses,15000,1000,15,0.5559642427456744,0.7462051021712859,"class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_condition,GoL_L64_rho0.25,class_counts_plus_losses,15000,1000,30,0.5596668567729937,0.7486195586683194,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count,class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_condition,GoL_L64_rho0.30,iso_count,15000,1000,1,0.41528130569022426,0.6462801024343988,iso_count
leave_condition,GoL_L64_rho0.30,local_window_loss,15000,1000,1,0.5607188687357881,0.7492693871056972,iso_local_window_loss_sum
leave_condition,GoL_L64_rho0.30,local_window_delta_loss_gain,15000,1000,3,0.565626422648349,0.7521442569682253,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_condition,GoL_L64_rho0.30,fate_core,15000,1000,4,0.4788342024249098,0.6949015787297762,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
