split_type,heldout,model,n_train,n_test,n_features,test_R2,test_corr_pred_target,mean_prediction,features
leave_size,L=128,iso_count,8000,8000,1,-70.6186491161957,0.3716740838637469,-378.65045268439235,iso_count
leave_size,L=128,local_window_loss,8000,8000,1,-62.692564622580434,0.5866366144748828,-357.545242782574,iso_local_window_loss_sum
leave_size,L=128,local_window_delta_loss_gain,8000,8000,3,-56.650087046718234,0.5930076839476116,-339.9786327765852,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_size,L=128,fate_core,8000,8000,4,-82.81770248113251,0.4692905081505065,-410.37375015468973,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
leave_size,L=128,fate_all,8000,8000,8,-37.026746121456824,0.6499290471249303,-275.6221862531707,"iso_die,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_size,L=128,class_counts,8000,8000,15,-72.59059420700108,0.38449067379216534,-383.9781804812418,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
leave_size,L=128,class_losses,8000,8000,15,-62.451798780007735,0.5886694362853025,-356.87764611954395,"class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_size,L=128,class_counts_plus_losses,8000,8000,30,-37.04238289789507,0.6561806265152348,-275.73054883659074,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count,class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_rule,rule=GoL,iso_count,8000,8000,1,0.002377157761090265,0.04876758893290841,-0.00402266754815389,iso_count
leave_rule,rule=GoL,local_window_loss,8000,8000,1,0.008434502700302549,0.09185039125355887,-0.021343459141056655,iso_local_window_loss_sum
leave_rule,rule=GoL,local_window_delta_loss_gain,8000,8000,3,0.05376267641003818,0.23425816804985425,-0.5648912256035501,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_rule,rule=GoL,fate_core,8000,8000,4,0.02759746373125571,0.16664423421301044,0.02412069727652056,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
leave_rule,rule=GoL,fate_all,8000,8000,8,0.3874188568510698,0.6237272309776055,-1.3507261004844362,"iso_die,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_rule,rule=GoL,class_counts,8000,8000,15,0.0064480834420547195,0.08140664065624761,-0.018221602274736938,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
leave_rule,rule=GoL,class_losses,8000,8000,15,0.011769686561470927,0.11008888658289431,-0.0055862756563676615,"class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
