scope,rule,L,rho,target,null_type,R2,R2_std,deltaR2,deltaR2_ci_low,deltaR2_ci_high
condition,HighLife,64.0,0.35,target_delta_block_entropy,target_shuffle,-0.003427547639369588,0.007451791061221556,0.0012392252019806978,,
condition,HighLife,64.0,0.35,target_future_density,iso_shuffle,-0.006790505798767432,0.005862614339996253,-8.017994476954265e-05,,
condition,HighLife,64.0,0.35,target_future_density,target_shuffle,-0.004770400544393994,0.0025812337696242073,0.0019399253096038958,,
condition,HighLife,64.0,0.35,target_future_live_count,iso_shuffle,-0.006790505798767432,0.005862614339996253,-8.017994476954265e-05,,
condition,HighLife,64.0,0.35,target_future_live_count,target_shuffle,-0.0021561796523225985,0.0031519267033632884,0.004554146201675291,,
condition,HighLife,128.0,0.2,target_fine_net,iso_shuffle,0.030887233024451222,0.024475962088345477,0.004968738638528137,,
condition,HighLife,128.0,0.2,target_fine_net,target_shuffle,-0.003865011033247212,0.0032038379041173333,-0.029783505419170297,,
condition,HighLife,128.0,0.2,target_delta_components,iso_shuffle,0.030887233024451222,0.024475962088345477,0.004968738638528137,,
condition,HighLife,128.0,0.2,target_delta_components,target_shuffle,-0.005318241787548894,0.00689598397492276,-0.03123673617347198,,
condition,HighLife,128.0,0.2,target_delta_density,iso_shuffle,0.07191546606099342,0.07223139435192119,0.002145323345627184,,
condition,HighLife,128.0,0.2,target_delta_density,target_shuffle,-0.012842288931598334,0.01169367956128406,-0.08261243164696457,,
condition,HighLife,128.0,0.2,target_delta_block_var,iso_shuffle,-0.0007469054303580914,0.01837528620885964,0.002082657160320256,,
condition,HighLife,128.0,0.2,target_delta_block_var,target_shuffle,-0.0034671889773844724,0.0023255275148028683,-0.0006376263867061251,,
condition,HighLife,128.0,0.2,target_delta_block_entropy,iso_shuffle,-0.006042890428601355,0.002653765436541342,7.921736185876292e-05,,
condition,HighLife,128.0,0.2,target_delta_block_entropy,target_shuffle,-0.008019127126682046,0.013079473718115058,-0.0018970193362219277,,
condition,HighLife,128.0,0.2,target_future_density,iso_shuffle,-0.00561869338421257,0.007054818647547707,0.0020175613957357005,,
condition,HighLife,128.0,0.2,target_future_density,target_shuffle,-0.004303484808381075,0.005762372106254335,0.003332769971567195,,
condition,HighLife,128.0,0.2,target_future_live_count,iso_shuffle,-0.00561869338421257,0.007054818647547707,0.0020175613957357005,,
condition,HighLife,128.0,0.2,target_future_live_count,target_shuffle,-0.006412260229264976,0.007826329487511217,0.001223994550683294,,
condition,HighLife,128.0,0.25,target_fine_net,iso_shuffle,-0.0053693179034991715,0.0018230567819715602,-0.0013894933581029452,,
condition,HighLife,128.0,0.25,target_fine_net,target_shuffle,-0.010443843393238783,0.006003728931873955,-0.006464018847842557,,
condition,HighLife,128.0,0.25,target_delta_components,iso_shuffle,-0.0053693179034991715,0.0018230567819715602,-0.0013894933581029452,,
condition,HighLife,128.0,0.25,target_delta_components,target_shuffle,-0.015102949764419194,0.013626267781969396,-0.011123125219022967,,
condition,HighLife,128.0,0.25,target_delta_density,iso_shuffle,0.08995378557402825,0.03678979891774874,-0.0013189887621533197,,
condition,HighLife,128.0,0.25,target_delta_density,target_shuffle,-0.014562777090860513,0.017523398577085084,-0.10583555142704208,,
condition,HighLife,128.0,0.25,target_delta_block_var,iso_shuffle,-0.0047607881685974626,0.005155309458998684,-0.000497339671758512,,
condition,HighLife,128.0,0.25,target_delta_block_var,target_shuffle,-0.004848258522256543,0.004562916954483519,-0.0005848100254175924,,
condition,HighLife,128.0,0.25,target_delta_block_entropy,iso_shuffle,-0.005108298506043418,0.0034275124811785538,-0.0002848676962713178,,
condition,HighLife,128.0,0.25,target_delta_block_entropy,target_shuffle,-0.012307005794973302,0.010800421390479585,-0.007483574985201202,,
condition,HighLife,128.0,0.25,target_future_density,iso_shuffle,-0.004901290949419224,0.0029015455914466045,-0.0007976822508013017,,
condition,HighLife,128.0,0.25,target_future_density,target_shuffle,-0.0009347312413521935,0.01285792091454802,0.0031688774572657284,,
condition,HighLife,128.0,0.25,target_future_live_count,iso_shuffle,-0.004901290949419224,0.0029015455914466045,-0.0007976822508013017,,
condition,HighLife,128.0,0.25,target_future_live_count,target_shuffle,-0.00333386278588077,0.002805403379018764,0.000769745912737152,,
condition,HighLife,128.0,0.3,target_fine_net,iso_shuffle,0.008772103416339294,0.013034067014587565,-0.002287090210176212,,
condition,HighLife,128.0,0.3,target_fine_net,target_shuffle,-0.006950702770765238,0.002843032256752424,-0.018009896397280744,,
condition,HighLife,128.0,0.3,target_delta_components,iso_shuffle,0.008772103416339294,0.013034067014587565,-0.002287090210176212,,
condition,HighLife,128.0,0.3,target_delta_components,target_shuffle,-0.0070725981496087,0.005932627954102407,-0.018131791776124208,,
condition,HighLife,128.0,0.3,target_delta_density,iso_shuffle,0.11882651304026164,0.06832996276455029,-0.0024310923987871796,,
condition,HighLife,128.0,0.3,target_delta_density,target_shuffle,-0.006105657575399981,0.008980506902568738,-0.1273632630144488,,
condition,HighLife,128.0,0.3,target_delta_block_var,iso_shuffle,-0.003811019772653257,0.004953796086261762,-0.0020357261658896287,,
condition,HighLife,128.0,0.3,target_delta_block_var,target_shuffle,-0.006388128248761582,0.009236757540116578,-0.0046128346419979545,,
condition,HighLife,128.0,0.3,target_delta_block_entropy,iso_shuffle,0.0059789725669328496,0.014992044439409087,-0.004046879732394503,,
condition,HighLife,128.0,0.3,target_delta_block_entropy,target_shuffle,-0.005527359999973136,0.00945674154916097,-0.01555321229930049,,
condition,HighLife,128.0,0.3,target_future_density,iso_shuffle,-0.007851706013494653,0.008159297085952453,-0.0015212998811866118,,
condition,HighLife,128.0,0.3,target_future_density,target_shuffle,-0.009103300291212113,0.005544274520614149,-0.002772894158904072,,
condition,HighLife,128.0,0.3,target_future_live_count,iso_shuffle,-0.007851706013494653,0.008159297085952453,-0.0015212998811866118,,
condition,HighLife,128.0,0.3,target_future_live_count,target_shuffle,-0.0065653793353535935,0.0064506104802589444,-0.00023497320304555203,,
condition,HighLife,128.0,0.35,target_fine_net,iso_shuffle,0.02360899027781842,0.04356004807620109,-0.00045354165369686575,,
condition,HighLife,128.0,0.35,target_fine_net,target_shuffle,-0.015605812066893154,0.027088339491488325,-0.03966834399840844,,
condition,HighLife,128.0,0.35,target_delta_components,iso_shuffle,0.02360899027781842,0.04356004807620109,-0.00045354165369686575,,
condition,HighLife,128.0,0.35,target_delta_components,target_shuffle,-0.012681021892967558,0.016249413335047994,-0.03674355382448284,,
condition,HighLife,128.0,0.35,target_delta_density,iso_shuffle,0.1327411478238721,0.04082983246354962,-7.942653123146903e-05,,
condition,HighLife,128.0,0.35,target_delta_density,target_shuffle,-0.0069653648063835675,0.007572174929111711,-0.13978593916148715,,
condition,HighLife,128.0,0.35,target_delta_block_var,iso_shuffle,-0.005636882749265171,0.014947993929382652,0.0018655343664248482,,
condition,HighLife,128.0,0.35,target_delta_block_var,target_shuffle,-0.008869799975337368,0.009503923487437744,-0.0013673828596473484,,
condition,HighLife,128.0,0.35,target_delta_block_entropy,iso_shuffle,-0.011385514322122559,0.01063827036114575,9.55907789421638e-06,,
condition,HighLife,128.0,0.35,target_delta_block_entropy,target_shuffle,-0.007615334790477624,0.005098117145237272,0.0037797386095391513,,
condition,HighLife,128.0,0.35,target_future_density,iso_shuffle,-0.01060827608706747,0.014252920551959513,0.00016549361320397117,,
