scope,rule,horizon,model,n_conditions,mean_R2,min_R2,max_R2,mean_corr,mean_shuffle_R2,frac_R2_positive
rule_horizon,HighLife,200,class_counts,8,0.1785828573115572,0.1249015335499628,0.2267881289342396,0.4207496008971108,0.011788725707224806,1.0
rule_horizon,HighLife,200,iso_count,8,0.1628702534781772,0.11219414426854546,0.2115920930611329,0.40094566983460467,0.0002805278857055393,1.0
rule_horizon,HighLife,200,iso_plus_class_counts,8,0.17620203561573505,0.12262753576155361,0.224103199189284,0.42021239951538963,0.01181062190042044,1.0
global_horizon,ALL,1,class_counts,16,0.38371028461022316,0.32219422700995237,0.4422854631846729,0.6191715815341187,0.010856528955860312,1.0
global_horizon,ALL,1,iso_count,16,0.36112295540706174,0.3076918015608221,0.4176771090501813,0.6004377914271835,0.0004840456782682495,1.0
global_horizon,ALL,1,iso_plus_class_counts,16,0.3831520290615395,0.32297323745624973,0.4415234823059774,0.6191080414637578,0.010905450206358178,1.0
global_horizon,ALL,5,class_counts,16,0.2977311742959501,0.19733708633335134,0.39485345989695586,0.5438044381711427,0.011707769197115012,1.0
global_horizon,ALL,5,iso_count,16,0.2808204448039365,0.18270906596578607,0.35864864450720857,0.5274994719999866,0.0015319288943656736,1.0
global_horizon,ALL,5,iso_plus_class_counts,16,0.2972191240086152,0.19502270164543922,0.3941707725206771,0.5437084644095335,0.011855206147193605,1.0
global_horizon,ALL,10,class_counts,16,0.27651075527697344,0.18955553039278072,0.3484044841790265,0.5241975762045249,0.012564467192154018,1.0
global_horizon,ALL,10,iso_count,16,0.26006356944923825,0.17754227311564208,0.3251881014115644,0.5076520744107393,0.0006310545767782422,1.0
global_horizon,ALL,10,iso_plus_class_counts,16,0.2759560632042146,0.18657412370607196,0.3478102842464157,0.5240266399338809,0.012637156577206918,1.0
global_horizon,ALL,25,class_counts,16,0.24253373010573984,0.1427129575345134,0.30375807761911866,0.49030007563982403,0.00982063423032132,1.0
global_horizon,ALL,25,iso_count,16,0.22648740634898207,0.1381083665496965,0.2831845009444479,0.47295441706613295,0.0008304111120717231,1.0
global_horizon,ALL,25,iso_plus_class_counts,16,0.24192306480676593,0.14115337643833337,0.3044974800143392,0.4901070061526983,0.009897129715569615,1.0
global_horizon,ALL,50,class_counts,16,0.21517727116007965,0.12441323013346306,0.2839005544005936,0.46228809109929414,0.011551964616054781,1.0
global_horizon,ALL,50,iso_count,16,0.20191943783052005,0.11894572916055068,0.2582599113396906,0.44641939110183704,0.0010078368602516666,1.0
global_horizon,ALL,50,iso_plus_class_counts,16,0.21474289200926577,0.1267370900131416,0.28464104688580516,0.46206183883185636,0.01165692047020836,1.0
global_horizon,ALL,100,class_counts,16,0.19679829283625033,0.12955514720319394,0.27384443442303175,0.442522114683263,0.011920830942724434,1.0
global_horizon,ALL,100,iso_count,16,0.18244189677014566,0.12513017454101938,0.2545197284767179,0.4245464697504276,0.0006022396593321905,1.0
global_horizon,ALL,100,iso_plus_class_counts,16,0.19576584346025847,0.13192064345590349,0.273275728127488,0.44228715081692815,0.011978743063121543,1.0
global_horizon,ALL,200,class_counts,16,0.19064110104646775,0.1249015335499628,0.26239271036853185,0.4353529111488845,0.01181794625444773,1.0
global_horizon,ALL,200,iso_count,16,0.17518334776234584,0.11219414426854546,0.23663289448906266,0.4160426506476831,0.0004951178174631074,1.0
global_horizon,ALL,200,iso_plus_class_counts,16,0.18912734476580073,0.12262753576155361,0.26325282288720775,0.4349661126605906,0.01186252376986744,1.0
