scope,condition_id,rule,L,rho,horizon,model,n,R2,corr,shuffle_R2,shuffle_corr,features
condition,GoL_L128_rho0.35,GoL,128,0.35,50,class_counts,1000,0.25418581195058865,0.5056075726738393,0.009766271148849426,0.11168177319473546,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.35,GoL,128,0.35,50,iso_plus_class_counts,1000,0.25511458892385397,0.5056483033160599,0.00989517393197592,0.11090247041291006,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.35,GoL,128,0.35,100,iso_count,1000,0.20142260562337877,0.4488053768791171,8.008989603403016e-06,0.0032678208036048964,iso_count
condition,GoL_L128_rho0.35,GoL,128,0.35,100,class_counts,1000,0.2277549225618981,0.4785532879428897,0.00786917860819103,0.10166015279025566,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.35,GoL,128,0.35,100,iso_plus_class_counts,1000,0.22502917587012894,0.47832400611873305,0.007872489163862961,0.10166685495767662,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.35,GoL,128,0.35,200,iso_count,1000,0.16282915733285253,0.40352461711834847,0.0003864225719637515,0.02269868048922126,iso_count
condition,GoL_L128_rho0.35,GoL,128,0.35,200,class_counts,1000,0.1987380038769212,0.44703297386392615,0.013268369890455545,0.13209822100557023,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.35,GoL,128,0.35,200,iso_plus_class_counts,1000,0.19588911968061462,0.44658269444447324,0.013292722387605593,0.13181626223184675,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L64_rho0.20,GoL,64,0.2,1,iso_count,1000,0.35515112238599367,0.5959461847639103,0.0003165097671787853,0.02054295555428474,iso_count
condition,GoL_L64_rho0.20,GoL,64,0.2,1,class_counts,1000,0.36597043898221515,0.6051285346425107,0.008159493440804466,0.1075245268989213,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L64_rho0.20,GoL,64,0.2,1,iso_plus_class_counts,1000,0.3654020555414842,0.6050667737649608,0.008210624775888853,0.10716367674619412,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L64_rho0.20,GoL,64,0.2,5,iso_count,1000,0.24313139712789034,0.4930880406616255,0.0014509213497307938,0.043983653777752,iso_count
condition,GoL_L64_rho0.20,GoL,64,0.2,5,class_counts,1000,0.25052266710478666,0.501658080919589,0.018065616046797905,0.15519872159164938,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L64_rho0.20,GoL,64,0.2,5,iso_plus_class_counts,1000,0.24783906696228297,0.5013429429308595,0.01824543017409297,0.1544660328844482,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L64_rho0.20,GoL,64,0.2,10,iso_count,1000,0.2220977864653212,0.4712768007362185,0.00037328106375889014,0.022309372133970096,iso_count
condition,GoL_L64_rho0.20,GoL,64,0.2,10,class_counts,1000,0.23417042757295858,0.4851333784783086,0.00813041200038167,0.1052288173636261,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L64_rho0.20,GoL,64,0.2,10,iso_plus_class_counts,1000,0.2347929875467717,0.4850998885362716,0.008173607730947663,0.10488579291971138,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L64_rho0.20,GoL,64,0.2,25,iso_count,1000,0.1698103944419075,0.41208431249912697,0.004313235724249798,0.06785607440769835,iso_count
condition,GoL_L64_rho0.20,GoL,64,0.2,25,class_counts,1000,0.1853512173769719,0.43163762841574616,0.013801270306261437,0.13236365959990043,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L64_rho0.20,GoL,64,0.2,25,iso_plus_class_counts,1000,0.18264373177191529,0.430910170539042,0.014085128196637209,0.1309520102645031,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L64_rho0.20,GoL,64,0.2,50,iso_count,1000,0.1638922919162057,0.40483980847425394,0.00040786109565038586,0.023319836924827326,iso_count
condition,GoL_L64_rho0.20,GoL,64,0.2,50,class_counts,1000,0.1772090278701739,0.4220986043603378,0.011243717749667814,0.11876893123199236,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L64_rho0.20,GoL,64,0.2,50,iso_plus_class_counts,1000,0.17437133418244732,0.4210748333075668,0.011246195476175891,0.11852779626168042,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L64_rho0.20,GoL,64,0.2,100,iso_count,1000,0.13908775778995763,0.3729481004066983,0.0007354349868409216,0.03131421374479146,iso_count
