sample_id,condition_id,rule,L,rho,live_count,density,block_var,block_entropy,components_t0,components_t1,fine_net_1,iso_count,iso_die,iso_survive,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum
6130,GoL_L128_rho0.30,GoL,128,0.3,4936,0.30126953125,0.0032346248626708984,1.3640086486386995,2146,1237,-909,912,503,409,70,339,747,524,-1874,1945,71
6131,GoL_L128_rho0.30,GoL,128,0.3,4856,0.29638671875,0.003518819808959961,1.4832850227987526,2089,1217,-872,853,476,377,54,323,704,469,-1773,1815,42
6132,GoL_L128_rho0.30,GoL,128,0.3,5016,0.30615234375,0.0034673213958740234,1.4604044709285615,2113,1172,-941,878,470,408,54,354,756,516,-1935,1984,49
6133,GoL_L128_rho0.30,GoL,128,0.3,5035,0.30731201171875,0.003380563110113144,1.3253070897811592,2087,1226,-861,860,469,391,56,335,722,508,-1793,1845,52
6134,GoL_L128_rho0.30,GoL,128,0.3,4872,0.29736328125,0.0028645992279052734,1.305761604091537,2120,1199,-921,917,492,425,64,361,748,509,-1908,1957,49
6135,GoL_L128_rho0.30,GoL,128,0.3,4974,0.3035888671875,0.0034587234258651733,1.43634047443481,2107,1193,-914,856,472,384,73,311,687,492,-1709,1756,47
6136,GoL_L128_rho0.30,GoL,128,0.3,4935,0.30120849609375,0.0031903348863124847,1.3865146585508301,2110,1182,-928,917,554,363,45,318,771,540,-1920,1968,48
6137,GoL_L128_rho0.30,GoL,128,0.3,4914,0.2999267578125,0.0032770484685897827,1.3926785915944866,2150,1221,-929,936,501,435,70,365,765,528,-2068,2123,55
6138,GoL_L128_rho0.30,GoL,128,0.3,4890,0.2984619140625,0.0032018274068832397,1.3584419027816852,2099,1179,-920,920,489,431,54,377,774,508,-2022,2069,47
6139,GoL_L128_rho0.30,GoL,128,0.3,4952,0.30224609375,0.003259420394897461,1.3909045607215544,2113,1188,-925,921,529,392,60,332,754,519,-2010,2068,58
6140,GoL_L128_rho0.30,GoL,128,0.3,4879,0.29779052734375,0.00346195325255394,1.4204823533063413,2098,1183,-915,907,483,424,53,371,761,528,-2088,2139,51
6141,GoL_L128_rho0.30,GoL,128,0.3,4873,0.29742431640625,0.003285106271505356,1.3381817274655057,2146,1150,-996,950,512,438,54,384,796,540,-2133,2186,53
6142,GoL_L128_rho0.30,GoL,128,0.3,4870,0.2972412109375,0.003545626997947693,1.368538503746517,2081,1196,-885,897,498,399,63,336,726,505,-1882,1926,44
6143,GoL_L128_rho0.30,GoL,128,0.3,4885,0.29815673828125,0.0031960271298885345,1.3655557296079506,2100,1198,-902,880,518,362,48,314,741,509,-1833,1878,45
6144,GoL_L128_rho0.30,GoL,128,0.3,4991,0.30462646484375,0.0031967125833034515,1.3982607077463698,2042,1192,-850,842,478,364,51,313,708,471,-1701,1744,43
6145,GoL_L128_rho0.30,GoL,128,0.3,4947,0.30194091796875,0.0029641054570674896,1.2827418919224833,2057,1151,-906,896,477,419,60,359,726,495,-1964,2017,53
6146,GoL_L128_rho0.30,GoL,128,0.3,4946,0.3018798828125,0.003545507788658142,1.4338624989633382,2107,1237,-870,906,506,400,51,349,751,519,-1996,2038,42
6147,GoL_L128_rho0.30,GoL,128,0.3,4819,0.29412841796875,0.003647889941930771,1.3995562481674488,2117,1192,-925,961,559,402,59,343,791,550,-2076,2127,51
6148,GoL_L128_rho0.30,GoL,128,0.3,4867,0.29705810546875,0.0029019974172115326,1.3236720716192827,2095,1200,-895,907,472,435,68,367,733,515,-1920,1982,62
6149,GoL_L128_rho0.30,GoL,128,0.3,4948,0.302001953125,0.0032200217247009277,1.3845996707626567,2099,1161,-938,866,502,364,43,321,707,507,-1876,1925,49
6150,GoL_L128_rho0.30,GoL,128,0.3,4796,0.292724609375,0.0029372572898864746,1.2637123350227109,2132,1157,-975,903,507,396,57,339,738,500,-1942,1993,51
6151,GoL_L128_rho0.30,GoL,128,0.3,5002,0.3052978515625,0.003972634673118591,1.4857697215241952,2078,1188,-890,901,484,417,61,356,746,520,-1901,1960,59
6152,GoL_L128_rho0.30,GoL,128,0.3,4964,0.302978515625,0.0033177733421325684,1.3498799314195324,2111,1171,-940,928,511,417,52,365,776,530,-2025,2080,55
6153,GoL_L128_rho0.30,GoL,128,0.3,4992,0.3046875,0.003704071044921875,1.4373049789817172,2067,1227,-840,861,474,387,61,326,732,499,-1866,1935,69
6154,GoL_L128_rho0.30,GoL,128,0.3,4901,0.29913330078125,0.003307010978460312,1.4037512481431471,2135,1152,-983,932,516,416,49,367,777,545,-2082,2131,49
6155,GoL_L128_rho0.30,GoL,128,0.3,4744,0.28955078125,0.0030667781829833984,1.3914849051430327,2094,1144,-950,871,492,379,53,326,722,499,-1906,1958,52
6156,GoL_L128_rho0.30,GoL,128,0.3,4861,0.29669189453125,0.0033597610890865326,1.4196772554942718,2069,1263,-806,856,501,355,43,312,713,504,-1691,1739,48
6157,GoL_L128_rho0.30,GoL,128,0.3,4988,0.304443359375,0.003507554531097412,1.4791483309992015,2122,1208,-914,920,516,404,48,356,772,553,-2048,2087,39
6158,GoL_L128_rho0.30,GoL,128,0.3,5000,0.30517578125,0.003915548324584961,1.529199653176919,2104,1188,-916,951,514,437,52,385,801,554,-2106,2157,51
6159,GoL_L128_rho0.30,GoL,128,0.3,4846,0.2957763671875,0.003144010901451111,1.3662782835307163,2101,1141,-960,898,515,383,49,334,750,521,-1954,2003,49
6160,GoL_L128_rho0.30,GoL,128,0.3,4868,0.297119140625,0.0036010146141052246,1.4216744278153237,2135,1178,-957,916,496,420,64,356,777,543,-1923,1983,60
6161,GoL_L128_rho0.30,GoL,128,0.3,4992,0.3046875,0.003856658935546875,1.4541174797520864,2114,1181,-933,933,493,440,73,367,756,540,-2049,2105,56
6162,GoL_L128_rho0.30,GoL,128,0.3,4965,0.30303955078125,0.0038444064557552338,1.4612992181620041,2121,1198,-923,891,472,419,51,368,738,497,-1951,2001,50
6163,GoL_L128_rho0.30,GoL,128,0.3,4815,0.29388427734375,0.0035721026360988617,1.4162345146603914,2084,1197,-887,897,520,377,50,327,733,504,-1919,1963,44
6164,GoL_L128_rho0.30,GoL,128,0.3,4857,0.29644775390625,0.003241356462240219,1.3631041381600213,2163,1123,-1040,966,520,446,51,395,814,562,-2227,2276,49
6165,GoL_L128_rho0.30,GoL,128,0.3,4964,0.302978515625,0.0038022398948669434,1.4551143308854648,2118,1196,-922,935,516,419,63,356,763,533,-1966,2036,70
6166,GoL_L128_rho0.30,GoL,128,0.3,5063,0.30902099609375,0.003187473863363266,1.4190360951050134,2043,1225,-818,876,466,410,69,341,710,498,-1863,1929,66
6167,GoL_L128_rho0.30,GoL,128,0.3,4899,0.29901123046875,0.0036584995687007904,1.3957996312850722,2163,1166,-997,959,544,415,45,370,814,538,-2258,2287,29
6168,GoL_L128_rho0.30,GoL,128,0.3,4887,0.29827880859375,0.0030831657350063324,1.39191440755198,2104,1182,-922,882,481,401,60,341,716,529,-1920,1975,55
6169,GoL_L128_rho0.30,GoL,128,0.3,4904,0.29931640625,0.003579854965209961,1.403265069213943,2084,1175,-909,885,492,393,56,337,735,493,-1944,1984,40
6170,GoL_L128_rho0.30,GoL,128,0.3,4925,0.30059814453125,0.0031380318105220795,1.334281299061073,2112,1200,-912,928,514,414,54,360,768,504,-2042,2095,53
