condition_id,rule,L,rho,horizon,n,resid_R2_iso_embedded,delta_R2_iso_embedded,resid_R2_singleton_comp,delta_R2_singleton_comp,resid_R2_small_comp_2,delta_R2_small_comp_2,resid_R2_small_comp_3,delta_R2_small_comp_3,resid_R2_small_comp_4,delta_R2_small_comp_4,resid_R2_small_comp_le4,delta_R2_small_comp_le4,resid_R2_orth_deg0,delta_R2_orth_deg0,resid_R2_orth_deg0_diag0,delta_R2_orth_deg0_diag0,resid_R2_orth_deg0_diag_ge1,delta_R2_orth_deg0_diag_ge1,resid_R2_moore_deg0,delta_R2_moore_deg0,resid_R2_moore_deg1,delta_R2_moore_deg1,resid_R2_moore_deg2,delta_R2_moore_deg2,resid_R2_boundary_cell,delta_R2_boundary_cell,resid_R2_component_count_t0,delta_R2_component_count_t0,resid_R2_block_var,delta_R2_block_var,resid_R2_block_entropy,delta_R2_block_entropy
GoL_L128_rho0.25,GoL,128,0.25,25,1000,0.24329296786453447,0.24418844080842095,0.2768326772266094,0.2864065546899446,0.0281948500075635,0.028155912297355368,0.0003531854758312969,0.0003584613552296556,0.0017474621838877713,0.001783025150077,0.3700654310497984,0.37368277043510323,0.2768326772266094,0.2864065546899446,0.005732466020885063,0.007025996066765572,0.24329296786453447,0.24418844080842095,0.005732466020885063,0.007025996066765572,0.07823190150848858,0.08138960829419717,0.003271906668506741,0.004137991210921954,1.5150609236735946e-05,0.002999413850581778,0.3835552867012805,0.3874960831230051,0.0026055682989408746,0.0026265739266325694,7.799953173459606e-05,7.803183479104803e-05
GoL_L128_rho0.25,GoL,128,0.25,50,1000,0.17413408498557703,0.17462456633353407,0.21515985252784453,0.22240924970607,0.03125967104095573,0.031189630194222384,0.001517092752130078,0.0015384296702243283,0.0011492904256530379,0.001171670454219953,0.31314996133977724,0.31593877154326866,0.21515985252784453,0.22240924970607,0.009112049638334008,0.011158568837992822,0.17413408498557703,0.17462456633353407,0.009112049638334008,0.011158568837992822,0.05339295949327938,0.05550026703093802,0.003479986888925035,0.004397362531184057,2.1508152532545566e-05,0.0042543714952142375,0.3264255747064264,0.3294955305813453,0.010861412737305232,0.010939550849684232,0.002334396259167537,0.002333352801258126
GoL_L128_rho0.25,GoL,128,0.25,100,1000,0.17393992457844898,0.17429507067707473,0.22052824181243458,0.2277823646164867,0.014832698773048492,0.014788028335339765,1.3250859139612992e-05,1.3426840376862259e-05,0.00046136622644332714,0.0004699869122555267,0.27683130719052984,0.2790808526451929,0.22052824181243458,0.2277823646164867,0.011126629105194796,0.013615083417646057,0.17393992457844898,0.17429507067707473,0.011126629105194796,0.013615083417646057,0.044355861391624396,0.04607086553949191,0.004291610916213218,0.005418752062590015,8.007658442221732e-06,0.0015827128117005262,0.29133320268989393,0.2938458819413049,0.0049255094590631154,0.004957110573357126,0.002186500600668939,0.002183834416922603
GoL_L128_rho0.25,GoL,128,0.25,200,1000,0.16790878966325218,0.1675454265638363,0.22945031253053327,0.23600317989526187,0.0073884959734640265,0.007335326630422245,0.0006907926737188541,0.0006970289730725554,0.002313803285750593,0.002347143904788518,0.2707569316102775,0.27181144572081406,0.22945031253053327,0.23600317989526187,0.017738612191742442,0.021614721950073745,0.16790878966325218,0.1675454265638363,0.017738612191742442,0.021614721950073745,0.03162960109390467,0.032714658229235694,0.006385219064227288,0.00802838257237859,2.8653066712513997e-05,0.005639505276996859,0.28663621648853665,0.2878949237045121,0.006203044540872393,0.0062166392718289165,0.001218687061396384,0.0012120921107563465
GoL_L128_rho0.30,GoL,128,0.3,1,1000,0.40285586506102733,0.36978325619295027,0.37524258377290876,0.367634363949209,0.019635044095926535,0.018275893183287817,0.046966074614497644,0.043085676226137126,0.004719698407332107,0.004327640189041193,0.4970575337516694,0.4940542808167234,0.37524258377290876,0.367634363949209,0.00013927291085269466,0.00015430947144179363,0.40285586506102733,0.36978325619295027,0.00013927291085269466,0.00015430947144179363,0.0025870751659494706,0.0026614931218775784,0.13077329637220436,0.12498126291508516,0.0004579563749504967,0.029789271468451894,0.5462011927005059,0.5096811892134663,0.014981105951232698,0.013761827908188917,0.01409037555932291,0.013124641957108607
GoL_L128_rho0.30,GoL,128,0.3,5,1000,0.3377842691205888,0.32502391322218194,0.3514485801489411,0.36094756626461355,0.03788185277682443,0.036962069985621016,0.026860816140365062,0.025831296054906083,1.0941704332578794e-06,1.0517202002624515e-06,0.4553023720916609,0.47440172761889143,0.3514485801489411,0.36094756626461355,0.00553395650352384,0.006427469364494787,0.3377842691205888,0.32502391322218194,0.00553395650352384,0.006427469364494787,0.04246727943950257,0.04579827113975743,0.04626728413502612,0.04635303638406152,0.00028152658181967993,0.019197007010446576,0.49749524785966515,0.48664609282155813,0.011586396663823884,0.01115729671467447,0.012366438983259287,0.012075021085012017
GoL_L128_rho0.30,GoL,128,0.3,10,1000,0.286663190423019,0.28059576308952705,0.3005354678547062,0.31398676481143795,0.0388215683710772,0.03853287682486972,0.015449794495754565,0.015114124115329641,0.0007192851170768622,0.0007033145453066991,0.3961458212380503,0.4198892079680291,0.3005354678547062,0.31398676481143795,0.005281588110930935,0.006240251420716714,0.286663190423019,0.28059576308952705,0.005281588110930935,0.006240251420716714,0.030503989958590605,0.03346451828263497,0.04920067876105927,0.05014279744587402,0.0002686597017366177,0.018635881011271338,0.44154696598807364,0.4393741412730381,0.012648995642807748,0.012390816275721472,0.009262186570681563,0.00920004704318167
GoL_L128_rho0.30,GoL,128,0.3,25,1000,0.2544982304402156,0.25123748250582845,0.2692653395073751,0.2837177778991715,0.03501987217477187,0.035056084017373035,0.017693096010290454,0.01745639652358022,1.5776633907060855e-06,1.5557985409975217e-06,0.353241024642716,0.3776080604836889,0.2692653395073751,0.2837177778991715,0.0053572590187817015,0.006383673847736526,0.2544982304402156,0.25123748250582845,0.0053572590187817015,0.006383673847736526,0.031864800414962646,0.03525572241403918,0.04092616195607346,0.04206578237661507,0.00017835461567761168,0.01247734663951594,0.39388038578986684,0.39528690765185504,0.00887268304497768,0.008765755023385169,0.006198269530220846,0.0062092260051964665
GoL_L128_rho0.30,GoL,128,0.3,50,1000,0.23668854775381343,0.23311967646022924,0.2537866120046941,0.2667944709218242,0.01747873161983171,0.017456644962998147,0.019559720986859985,0.01925375496259063,0.00018954983065755382,0.00018649381510138507,0.3167065010173302,0.33777625738117145,0.2537866120046941,0.2667944709218242,0.005969335213435678,0.0070966932570742935,0.23668854775381343,0.23311967646022924,0.005969335213435678,0.0070966932570742935,0.032494803156760454,0.035870245305936965,0.039635071350552775,0.04064523297641276,0.00018929012182811178,0.01321197852356093,0.3670821784000713,0.36754743532150425,0.006734664252026401,0.006638230550821356,0.0059771740301642895,0.005973996059216113
GoL_L128_rho0.30,GoL,128,0.3,100,1000,0.2476575850687145,0.247678413376479,0.26249877638767094,0.2802013586035883,0.040452165616823965,0.04102300579262119,0.012622287116529796,0.012616116076981099,0.00032233208235010746,0.0003220174472978732,0.3511137529196984,0.38023738841998167,0.26249877638767094,0.2802013586035883,0.005346420147491426,0.006453985529853323,0.2476575850687145,0.247678413376479,0.005346420147491426,0.006453985529853323,0.037107207218645244,0.04159235795958116,0.05248635332455909,0.0546526480044639,0.0002444483124294239,0.01732454303611486,0.3966561044425959,0.4032729342149636,0.008730700925939305,0.008738166794405755,0.008240380270281733,0.008362788647495734
