sample_id,condition_id,rule,L,rho,live_count,density,components_t0,components_t1,fine_net_1,iso_count
132,GoL_L64_rho0.20,GoL,64,0.2,809,0.197509765625,501,225,-276,208
133,GoL_L64_rho0.20,GoL,64,0.2,822,0.20068359375,476,215,-261,174
134,GoL_L64_rho0.20,GoL,64,0.2,770,0.18798828125,488,202,-286,194
135,GoL_L64_rho0.20,GoL,64,0.2,833,0.203369140625,514,222,-292,203
136,GoL_L64_rho0.20,GoL,64,0.2,850,0.20751953125,488,239,-249,186
137,GoL_L64_rho0.20,GoL,64,0.2,807,0.197021484375,503,204,-299,184
138,GoL_L64_rho0.20,GoL,64,0.2,778,0.18994140625,483,203,-280,174
139,GoL_L64_rho0.20,GoL,64,0.2,836,0.2041015625,502,204,-298,190
140,GoL_L64_rho0.20,GoL,64,0.2,806,0.19677734375,511,210,-301,198
141,GoL_L64_rho0.20,GoL,64,0.2,821,0.200439453125,502,229,-273,218
142,GoL_L64_rho0.20,GoL,64,0.2,827,0.201904296875,502,209,-293,192
143,GoL_L64_rho0.20,GoL,64,0.2,840,0.205078125,503,217,-286,201
144,GoL_L64_rho0.20,GoL,64,0.2,817,0.199462890625,506,227,-279,205
145,GoL_L64_rho0.20,GoL,64,0.2,818,0.19970703125,489,213,-276,200
146,GoL_L64_rho0.20,GoL,64,0.2,827,0.201904296875,503,215,-288,200
147,GoL_L64_rho0.20,GoL,64,0.2,826,0.20166015625,479,231,-248,170
148,GoL_L64_rho0.20,GoL,64,0.2,806,0.19677734375,485,220,-265,193
149,GoL_L64_rho0.20,GoL,64,0.2,797,0.194580078125,502,213,-289,218
150,GoL_L64_rho0.20,GoL,64,0.2,813,0.198486328125,512,201,-311,211
151,GoL_L64_rho0.20,GoL,64,0.2,799,0.195068359375,494,212,-282,202
152,GoL_L64_rho0.20,GoL,64,0.2,801,0.195556640625,507,224,-283,200
153,GoL_L64_rho0.20,GoL,64,0.2,790,0.19287109375,494,218,-276,189
154,GoL_L64_rho0.20,GoL,64,0.2,830,0.20263671875,486,231,-255,176
155,GoL_L64_rho0.20,GoL,64,0.2,793,0.193603515625,498,207,-291,189
156,GoL_L64_rho0.20,GoL,64,0.2,768,0.1875,487,201,-286,178
157,GoL_L64_rho0.20,GoL,64,0.2,807,0.197021484375,482,195,-287,180
158,GoL_L64_rho0.20,GoL,64,0.2,815,0.198974609375,485,226,-259,194
159,GoL_L64_rho0.20,GoL,64,0.2,837,0.204345703125,500,215,-285,190
160,GoL_L64_rho0.20,GoL,64,0.2,806,0.19677734375,507,213,-294,210
161,GoL_L64_rho0.20,GoL,64,0.2,817,0.199462890625,513,214,-299,219
162,GoL_L64_rho0.20,GoL,64,0.2,835,0.203857421875,502,222,-280,202
163,GoL_L64_rho0.20,GoL,64,0.2,791,0.193115234375,502,211,-291,209
164,GoL_L64_rho0.20,GoL,64,0.2,861,0.210205078125,523,229,-294,227
165,GoL_L64_rho0.20,GoL,64,0.2,845,0.206298828125,486,231,-255,170
166,GoL_L64_rho0.20,GoL,64,0.2,808,0.197265625,498,231,-267,215
167,GoL_L64_rho0.20,GoL,64,0.2,795,0.194091796875,489,205,-284,195
168,GoL_L64_rho0.20,GoL,64,0.2,806,0.19677734375,489,205,-284,199
169,GoL_L64_rho0.20,GoL,64,0.2,863,0.210693359375,502,203,-299,215
170,GoL_L64_rho0.20,GoL,64,0.2,800,0.1953125,502,194,-308,224
171,GoL_L64_rho0.20,GoL,64,0.2,794,0.19384765625,483,201,-282,175
172,GoL_L64_rho0.20,GoL,64,0.2,778,0.18994140625,485,214,-271,172
173,GoL_L64_rho0.20,GoL,64,0.2,825,0.201416015625,514,212,-302,216
174,GoL_L64_rho0.20,GoL,64,0.2,789,0.192626953125,486,201,-285,189
175,GoL_L64_rho0.20,GoL,64,0.2,814,0.19873046875,498,210,-288,185
176,GoL_L64_rho0.20,GoL,64,0.2,834,0.20361328125,513,175,-338,216
177,GoL_L64_rho0.20,GoL,64,0.2,803,0.196044921875,479,229,-250,161
178,GoL_L64_rho0.20,GoL,64,0.2,795,0.194091796875,518,215,-303,215
179,GoL_L64_rho0.20,GoL,64,0.2,834,0.20361328125,520,205,-315,221
180,GoL_L64_rho0.20,GoL,64,0.2,803,0.196044921875,510,223,-287,220
181,GoL_L64_rho0.20,GoL,64,0.2,817,0.199462890625,485,218,-267,166
182,GoL_L64_rho0.20,GoL,64,0.2,852,0.2080078125,485,223,-262,190
183,GoL_L64_rho0.20,GoL,64,0.2,798,0.19482421875,484,212,-272,176
184,GoL_L64_rho0.20,GoL,64,0.2,789,0.192626953125,484,197,-287,192
185,GoL_L64_rho0.20,GoL,64,0.2,816,0.19921875,513,208,-305,216
186,GoL_L64_rho0.20,GoL,64,0.2,875,0.213623046875,506,208,-298,214
187,GoL_L64_rho0.20,GoL,64,0.2,847,0.206787109375,503,229,-274,215
188,GoL_L64_rho0.20,GoL,64,0.2,812,0.1982421875,519,205,-314,227
189,GoL_L64_rho0.20,GoL,64,0.2,835,0.203857421875,503,216,-287,208
190,GoL_L64_rho0.20,GoL,64,0.2,835,0.203857421875,522,240,-282,202
191,GoL_L64_rho0.20,GoL,64,0.2,756,0.1845703125,461,198,-263,174
192,GoL_L64_rho0.20,GoL,64,0.2,774,0.18896484375,479,180,-299,177
193,GoL_L64_rho0.20,GoL,64,0.2,814,0.19873046875,515,205,-310,221
194,GoL_L64_rho0.20,GoL,64,0.2,832,0.203125,513,238,-275,200
195,GoL_L64_rho0.20,GoL,64,0.2,825,0.201416015625,503,199,-304,187
196,GoL_L64_rho0.20,GoL,64,0.2,847,0.206787109375,498,234,-264,209
197,GoL_L64_rho0.20,GoL,64,0.2,830,0.20263671875,503,217,-286,201
198,GoL_L64_rho0.20,GoL,64,0.2,812,0.1982421875,512,212,-300,203
199,GoL_L64_rho0.20,GoL,64,0.2,801,0.195556640625,463,221,-242,151
200,GoL_L64_rho0.20,GoL,64,0.2,851,0.207763671875,526,246,-280,208
201,GoL_L64_rho0.20,GoL,64,0.2,873,0.213134765625,517,204,-313,222
202,GoL_L64_rho0.20,GoL,64,0.2,847,0.206787109375,507,226,-281,212
203,GoL_L64_rho0.20,GoL,64,0.2,814,0.19873046875,498,209,-289,202
204,GoL_L64_rho0.20,GoL,64,0.2,836,0.2041015625,496,206,-290,200
205,GoL_L64_rho0.20,GoL,64,0.2,803,0.196044921875,487,211,-276,194
