rule,diag_class,n_isolates,mean_local_delta,mean_local_loss,mean_local_gain,death_frac,survive_connected_frac,orth_births_mean,diag_births_mean
HighLife,2,616244,-2.0128974886570905,2.0546520534074166,0.04175456475032617,1.0,0.0,1.161859588085239,0.8243893652514264
HighLife,3,231144,-2.2656828643616103,2.3312047900875643,0.06552192572595439,0.0,0.837932198110269,1.425180839649742,0.5765410306994774
HighLife,4,616631,-2.011966638070418,2.0531436142522836,0.04117697618186565,1.0,0.0,1.1616996226268221,0.8270732415334292
HighLife,5,230949,-2.2680158822943595,2.3331687948421513,0.06515291254779193,0.0,0.8379685558283431,1.4251155016908494,0.5747978991032652
HighLife,6,230905,-2.472817825512657,2.531166497044239,0.058348671531582255,0.0,0.891015785712739,1.7071479612827787,0.578809467096858
HighLife,7,93022,-2.5710369589989464,2.625755197695169,0.0547182386962224,0.0,0.8762335791533186,1.6289694910881296,0.2981660252413408
HighLife,8,616761,-2.0107837557822235,2.052984867720235,0.04220111193801165,1.0,0.0,1.1597620472111563,0.8239301771674927
HighLife,9,230408,-2.4710556925106766,2.528349710079511,0.05729401756883441,0.0,0.8922259643762369,1.7078920870803098,0.5764990798930593
HighLife,10,230712,-2.2609487152813896,2.327278164984916,0.06632944970352647,0.0,0.8375160373105863,1.4237100800998648,0.5766930198689275
HighLife,11,93398,-2.5710935994346773,2.628139788860575,0.05704618942589777,0.0,0.8770209212188698,1.6196171224223217,0.299503201353348
HighLife,12,231457,-2.2688015484517643,2.3344379301554934,0.06563638170372899,0.0,0.8394172567690759,1.4269259516886506,0.5787943332886886
HighLife,13,93186,-2.5731762281887836,2.628227416135471,0.05505118794668727,0.0,0.8754104693838131,1.6231193526924645,0.30136501191166054
HighLife,14,93091,-2.576919358477189,2.6319085625892944,0.05498920411210536,0.0,0.8770020732401629,1.6281273162819176,0.30115693246393316
HighLife,15,40092,-2.4735857527686322,2.52022847450863,0.046642721739998005,1.0,0.0,1.4627357078718946,0.0
ALL,1,1235036,-2.0147210283748813,2.055424295324185,0.0407032669493035,1.0,0.0,1.1581055127137994,0.8200862161102996
ALL,2,1234255,-2.013750805141563,2.0547698814264477,0.0410190762848844,1.0,0.0,1.1601468092087939,0.8205208810172938
ALL,3,462420,-2.2689676052073873,2.334269711517668,0.0653021063102807,0.0,0.835379092599801,1.4128216772630942,0.573967388953765
ALL,4,1234077,-2.015379105193598,2.0558449756376627,0.040465870444064675,1.0,0.0,1.1603935572901853,0.8225135060454088
ALL,5,461920,-2.270711378593696,2.335408728784205,0.06469735019050918,0.0,0.8357053169379979,1.4139158295808798,0.5734910807066159
ALL,6,462230,-2.4767929385803606,2.532927330549726,0.0561343919693659,0.0,0.8909677000627393,1.7057200960560759,0.5756052181814248
ALL,7,186406,-2.5800832591225604,2.634620130253318,0.05453687113075759,0.0,0.869285323433795,1.5961986202160874,0.2985472570625409
ALL,8,1235246,-2.01519940157669,2.0562608581610466,0.041061456584356476,1.0,0.0,1.1596402659875038,0.8208462120095916
ALL,9,461589,-2.474422050785439,2.5301642803446356,0.0557422295591966,0.0,0.8914207227641907,1.7063968162152912,0.5749053811940926
ALL,10,461606,-2.2646867675030222,2.3305567951889707,0.06587002768594863,0.0,0.8349154906998609,1.4130275603003428,0.5741844776714341
ALL,11,186481,-2.5821987226580725,2.6368906215646635,0.05469189890659102,0.0,0.8703567655686102,1.5926609145167605,0.29834674846230985
ALL,12,462580,-2.270774784902071,2.335650049721129,0.06487526481905832,0.0,0.836242379696485,1.4149422802542262,0.5753080548229496
ALL,13,186667,-2.585175740757606,2.63971135765829,0.054535616900684106,0.0,0.8700145178312182,1.5948507234808509,0.29920660855962755
ALL,14,185741,-2.5872586020318615,2.6412585266580884,0.053999924626226846,0.0,0.8713369692205813,1.6012673561572297,0.30033756682692564
ALL,15,80015,-2.51579078922702,2.5519465100293695,0.03615572080234956,1.0,0.0,1.3989501968380929,0.0
